id,savings_id,maturity_start_date,maturity_end_date,amount,confirmed_amount,deduction_amount,new_balance,transaction_date,transaction_reference,transaction_status,verification_call_amount,verification_call_message,verification_call_code,verification_transaction_date,book_returns,available_returns,returns_on_hold,last_returns_date,next_returns_date,created_on,card_billed_id,channel_id,charging_method_id,owner_id,plan_id,transaction_type_id,verification_status_id,gateway_response_message,fee_in_kobo,donor_id,is_anonymous,description,payment_gateway,source_bank_account,currency,fee_in_cents
1,1423f34658a34b05a34583daeb4a176b,"2016-08-28 21:56:43","2016-09-04 21:56:43",10000,10000,0,10000,"2016-08-28 21:56:43",T40046006,success,10000,"Verification successful",200,"2016-08-28 21:56:45",4.38356164383562,0,0,2016-09-05,2016-09-06,"2016-08-28 21:56:43",NULL,1,1,0257625a02344b239b41e1cbe60ef080,671e6e5caf0f463b80123c839264de8c,1,1,,0,NULL,0,,NULL,NULL,NULL,0
4,87a768a9a08c47d79c92bcd4e08a6c61,"2016-09-01 00:37:43","2016-09-01 00:37:43",10000,10000,0,30004.3835616438,"2016-09-01 00:37:43",T03148197,success,10000,"Verification successful",200,"2016-09-01 00:38:01",8.21917808219178,8.21917808219178,0,2016-09-05,2016-09-06,"2016-09-01 00:37:43",NULL,1,1,0257625a02344b239b41e1cbe60ef080,671e6e5caf0f463b80123c839264de8c,1,1,,0,NULL,0,,NULL,NULL,NULL,0
13,279a5bc39fde4faf943d1eadef9ded1e,"2016-09-18 19:07:14","2016-09-18 19:07:14",10000,10000,10000,10000,"2016-09-18 19:07:14",T64001585,success,10000,"Verification successful",200,"2016-09-18 19:07:32",0,0,0,2016-09-18,2016-09-20,"2016-09-18 19:07:14",NULL,1,1,0257625a02344b239b41e1cbe60ef080,ba6cda07fcd44c6a812fb0b7fee01b3c,5,1,,0,NULL,0,,NULL,NULL,NULL,0
14,116437619f414c2990ac3c221d449346,"2016-09-18 19:21:49","2016-09-18 19:21:49",10000,10000,10000,10000,"2016-09-18 19:21:49",T88173951,success,10000,"Verification successful",200,"2016-09-18 19:22:18",0,0,0,2016-09-18,2016-09-20,"2016-09-18 19:21:49",NULL,1,1,0257625a02344b239b41e1cbe60ef080,dc58f3ec56e04193b818a473b3ae8ff4,5,1,,0,NULL,0,,NULL,NULL,NULL,0
18,963c8ffaf86f4929b35600ecdf965887,"2016-09-26 00:58:42","2016-09-26 00:58:42",10000,10000,10000,10000,"2016-09-26 00:58:42",T14225855,success,10000,"Verification successful",200,"2016-09-26 00:59:31",21.9178082191782,21.9178082191782,0,2016-10-05,2016-10-06,"2016-09-26 00:58:42",NULL,1,1,0257625a02344b239b41e1cbe60ef080,2a090fbd86984e6f9b4d03c0badcb866,1,1,,0,NULL,0,,NULL,NULL,NULL,0
19,73ce5afcb5fd4492ae505decc457c9be,"2016-10-08 15:03:45","2016-10-08 15:03:45",10000,10000,10000,10000,"2016-10-08 15:03:45",aojr6eh5bjxx2cw,success,10000,"Charge attempted",200,"2016-10-08 15:05:45",10.958904109589,10.958904109589,0,2016-10-13,2016-10-14,"2016-10-08 15:03:45",ff050c6de7114ef19e0dc403d18b3b6d,2,1,0257625a02344b239b41e1cbe60ef080,c4f47b8284594473b7b931e2cf6f60ec,2,1,,0,NULL,0,,NULL,NULL,NULL,0
20,603f851fa5664e04a8bf134529adca98,"2016-10-09 17:38:27","2016-10-09 17:38:27",10000,10000,10000,10000,"2016-10-09 17:38:27",ybxydnllt3rvvok,success,10000,"Charge attempted",200,"2016-10-09 17:40:28",8.21917808219178,8.21917808219178,0,2016-10-13,2016-10-14,"2016-10-09 17:38:27",ff050c6de7114ef19e0dc403d18b3b6d,2,1,0257625a02344b239b41e1cbe60ef080,2f385055da5c41b7a35cd7d961d8ac57,2,1,,0,NULL,0,,NULL,NULL,NULL,0
21,d5a5f36785874b819fd83b84e6f71f99,"2016-10-11 22:46:24","2016-10-11 22:46:24",10000,10000,4000,10000,"2016-10-11 22:46:24",hq1wpg8eal1vn79,success,10000,"Charge attempted",200,"2016-10-11 22:48:29",2.73972602739726,2.73972602739726,0,2016-10-13,2016-10-14,"2016-10-11 22:46:24",ff050c6de7114ef19e0dc403d18b3b6d,2,1,0257625a02344b239b41e1cbe60ef080,cc98b8667a964dad984059843216db23,1,1,,0,NULL,0,,NULL,NULL,NULL,0
22,2e92290a756b463d8233d145c184db36,"2016-10-11 22:50:04","2016-10-11 22:50:04",10000,10000,0,20000,"2016-10-11 22:50:04",xqp7k4c910pakr6,success,10000,"Charge attempted",200,"2016-10-11 22:52:09",2.73972602739726,2.73972602739726,0,2016-10-13,2016-10-14,"2016-10-11 22:50:04",ff050c6de7114ef19e0dc403d18b3b6d,2,1,0257625a02344b239b41e1cbe60ef080,b8d63cc147454862a803f9da2c47f3bb,1,1,,0,NULL,0,,NULL,NULL,NULL,0
23,88556490496145be86967b7dad71fb50,"2016-10-11 22:53:11","2016-10-11 22:53:11",10000,10000,0,30000,"2016-10-11 22:53:11",zcxrw02rxduwfv0,success,10000,"Charge attempted",200,"2016-10-11 22:55:17",2.73972602739726,2.73972602739726,0,2016-10-13,2016-10-14,"2016-10-11 22:53:11",ff050c6de7114ef19e0dc403d18b3b6d,2,1,0257625a02344b239b41e1cbe60ef080,b8d63cc147454862a803f9da2c47f3bb,1,1,,0,NULL,0,,NULL,NULL,NULL,0
